other_links.entity_id	Full name	First name	Last name	Knowledge Network	SocialPolitical Network	Religious Network	Gender	AuthorEditor Network	Language Network	Column
46814.0	Martino Martini (de Martinis)	Martino	Martini (de Martinis)	travel,antiquarianism,natural philosophy,religion		Catholic,Catholic_clergy,Catholic_clergy_jesuit	Male	Author	latin, italian	
46815.0	Holy Roman Emperor Ferdinand III	Holy Roman Emperor	Ferdinand III		elite,government,government_leadership,government_major ruling family,nobility	Catholic	Male		latin, german	
46816.0	Mattias de' Medici	Mattias de'	Medici		elite,government,government_leadership,government_major ruling family,nobility	Catholic	Male		italian	
46817.0	Duke of Modena Alfonso IV	Duke of Modena	Alfonso IV		elite,government,government_leadership,government_major ruling family,nobility	Catholic	Male		italian	
46818.0	Duke of Schleswig-Holstein Friedrich Johannes	Duke of Schleswig-Holstein	Friedrich Johannes		elite,government,government_leadership,government_major ruling family,nobility	Protestant	Male		latin	
46819.0	Francesco Barberini	Francesco	Barberini	other	elite,government,government_leadership,government_major ruling family,nobility	Catholic,Catholic_clergy,Catholic_clergy_leadership	Male		latin	
46820.0	Landgrave of Hesse-Darmstadt Friedrich	Landgrave of Hesse-Darmstadt	Friedrich		elite,government,government_leadership,government_major ruling family,nobility	Catholic,Catholic_convert,Catholic_clergy,Catholic_clergy_leadership	Male		italian, german, latin	
46821.0	Duke of Schleswig-Holstein Johann Adolph	Duke of Schleswig-Holstein	Johann Adolph		elite,government,government_leadership,government_major ruling family,nobility	Protestant	Male		italian	
46822.0	Joseph Marie Suáres	Joseph Marie	Suáres	antiquarianism,religion	elite,government,government_leadership	Catholic,Catholic_clergy,Catholic_clergy_leadership	Male	Author	latin	
46823.0	Stanislas Pstrokonski	Stanislas	Pstrokonski		elite,government,government_leadership	Catholic,Catholic_clergy,Catholic_clergy_leadership	Male		latin	
46824.0	Domenico Blandizzi	Domenico	Blandizzi		elite,government,government_leadership	Catholic,Catholic_clergy,Catholic_clergy_leadership	Male		italian	
46825.0	Claudio Marazzani Visconti	Claudio	Marazzani Visconti	poetry	elite,government,government_leadership,nobility	Catholic,Catholic_clergy,Catholic_clergy_leadership	Male	Author	italian	
46826.0	Carlo Ottone	Carlo	Ottone		elite,government,government_leadership,nobility	Catholic,Catholic_clergy,Catholic_clergy_leadership	Male		italian	
46827.0	Carbone Delmona	Carbone	Delmona				Male		italian	
46828.0	Giuseppe della Corgna	Giuseppe della	Corgna		elite,government,government_leadership	Catholic,Catholic_clergy,Catholic_clergy_leadership	Male	Author	italian	
46829.0	Pope (Antonio Pignatelli) Innocent XII	Pope (Antonio Pignatelli)	Innocent XII		elite,government,government_leadership,government_major ruling family,nobility	Catholic,Catholic_clergy,Catholic_clergy_leadership	Male		italian	
46830.0	Monsignor Salvetti	Monsignor	Salvetti		elite,government,government_leadership	Catholic,Catholic_clergy,Catholic_clergy_leadership	Male		italian	
46831.0	Sebastian Denich	Sebastian	Denich		elite,government,government_leadership	Catholic,Catholic_clergy,Catholic_clergy_leadership	Male	Author	latin	
