Author,Recipient,Description,Date,Type of document, Place of Repository,Repository,Call Number,Notes, Language,,,,,,,,,,,,,
"Kircher, Athanasius"," Conring, Herman", Letter to Conring, to be checked,,Wolfenbüttel, Herzog August Bibliothek, HAB Extrav. 54 (fol. nos. to be checked)," Notes: Kristeller, Iter italicum,  VI; p. 547",,,,,,,,,,,,,,
"Kircher, Athanasius"," Cosimo III dei Medici, Grand Duke of Tuscany", Letter to Cosimo III dei Medici, 29 November 1675,Letter,Florence, Archivio di Stato,"ASF Med. 1114, f. 8."," Notes: May this letter have a copy in: ASF, Med, f. 1114,c.572? (Mirto 2000, p. 233-234)",,,,,,,,,,,,,,
"Kircher, Athanasius"," Cosimo III dei Medici, Grand Duke of Tuscany", Letter to Cosimo III dei Medici, 20 December 1675,Letter,Florence, Archivio di Stato,ASF Med 3942 f.1," Notes: May this letter have a copy in: ASF, Med, f. 3942,c.7 ?(Mirto 2000, p.234)",,,,,,,,,,,,,,
"Kircher, Athanasius"," Cosimo III dei Medici, Grand Duke of Tuscany", Letter to Cosimo III dei Medici, 30 October 1678,Letter,Florence, Archivio di Stato,ASF Med 1115 f.6," Notes: May this letter have a copy in: ASF, Med, f. 1115, c.281?(Mirto 2000, p.236)",,,,,,,,,,,,,,
"Kircher, Athanasius"," Cosimo III dei Medici, Grand Duke of Tuscany", Letter to Cosimo III dei Medici, 10 February 1672,Letter,Florence, Archivio di Stato,"ASF, Med, f. 3940,c.169"," Notes: Published in Mirto 2000, p. 232-233.",,,,,,,,,,,,,,
"Kircher, Athanasius"," Cosimo III dei Medici, Grand Duke of Tuscany", Letter to Cosimo III dei Medici, 25 July 1676,Letter,Florence, Archivio di Stato,"ASF, Med, f. 1115, c. 57"," Notes: Published in Mirto 2000, p. 235-236.",,,,,,,,,,,,,,
"Kircher, Athanasius"," Curtius, Albert", Letter to Curtius , 1665?,Printed copy,,," Published in S. Lubienietzki,  Theatrum cometicum, Amsterdam 1668, 1666, I 210-211.",,,,,,,,,,,,,,,
"Kircher, Athanasius"," Curtius, Albert", Letter to Curtius , 11 April 1665,Printed copy,,," Published in S. Lubienietzki,  Theatrum cometicum, Amsterdam 1668, 1666, I 214-215.",,,,,,,,,,,,,,,
"Kircher, Athanasius"," Dal Pozzo, Carlo Antonio", Letter to Dal Pozzo, n.d.,Printed copy,,,"Published in: Athanasius Kircher, Oedipus Aegyptiacus, 3 Tom. (in 4 vols.),  Rome: Ex Typographia Vitalis Mascardi,  1652-1654,  Tomus III (1654), p. 474.","Notes: Dedicatory letter for Syntagma XVI De Penatibus Laribus et Serapibus Aegyptiorum, Published in: Athanasius Kircher, Oedipus Aegyptiacus, 3 Tom. (in 4 vols.),  Rome: Ex Typographia Vitalis Mascardi,  1652-1654,  Tomus III (1654), p. 474.",,,,,,, Laribus et Serapibus Aegyptiorum. ,,,,,,,
"Kircher, Athanasius"," Dal Pozzo, Cassiano", Letter to Dal Pozzo, 18 September 1647,,Montpellier, Ecole de Médicine,H270 fol. 291," Notes: Cited in Fletcher, AK und…, p. 153. Cit.  Anna Nicolo, Il Carteggio di Cassiano dal Pozzo: Catalogo,  Florence: Olschki 1997, p. 8.",,,,,,,,,,,,,,
"Kircher, Athanasius"," Dal Pozzo, Cassiano", Letter to Dal Pozzo, 27 November 1647,,Montpellier, Ecole de Médicine,H270 ff. 292r-293v," Notes: Cited in Anna Nicolo, Il Carteggio di Cassiano dal Pozzo: Catalogo,  Florence: Olschki 1997, p. 8.",,,,,,,,,,,,,,
"Kircher, Athanasius"," Dal Pozzo, Cassiano", Letter to Dal Pozzo, n.d.,Printed copy,,,"Published in: Athanasius Kircher, Oedipus Aegyptiacus, 3 Tom. (in 4 vols.),  Rome: Ex Typographia Vitalis Mascardi,  1652-1654,  Tomus III (1654), p. 474.","Notes: Dedicatory letter for Syntagma XVI De Penatibus Laribus et Serapibus Aegyptiorum, Published in: Athanasius Kircher, Oedipus Aegyptiacus, 3 Tom. (in 4 vols.),  Rome: Ex Typographia Vitalis Mascardi,  1652-1654,  Tomus III (1654), p. 474.",,,,,,,,,,,,,,
"Kircher, Athanasius"," Doni, Giovanni Battista", Letter to Doni, 19 October 1647,,London, British Library," BL Egerton ms. 22, fol. 40",," Notes: Cited in Fletcher, AK und…, p. 153. A copy in Biblioteca Marucelliana, Florence Cat. A, 289-290 c. 352.",,,,,,,,,,,,,
"Kircher, Athanasius",Electors of the Holy Roman Empire, Letter to Electors of the Holy Roman Empire, n.d.,Printed copy,,,"Published in: Athanasius Kircher, Oedipus Aegyptiacus, 3 Tom. (in 4 vols.),  Rome: Ex Typographia Vitalis Mascardi,  1652-1654,  Tomus III (1654), p.1."," Notes: Dedicatory letter for volume, Published in: Athanasius Kircher, Oedipus Aegyptiacus, 3 Tom. (in 4 vols.),  Rome: Ex Typographia Vitalis Mascardi,  1652-1654,  Tomus III (1654), p.1.",,,,,,,,,,,,,,
"Kircher, Athanasius"," Erbermann, Vitus", Letter to Erbermann, 7 February 1672,Printed copy,,,"Published in H.A. Langenmantel, ed. Fasciculus,  pp. 94-100. V. Erbermann,  Trophaea Romana, Mainz, 1672, pp. 195-201 [recte198]"," Notes: Cit. Fletcher, AK und…, p. 157.  Published in H.A. Langenmantel, ed. Fasciculus,  pp. 94-100. V. Erbermann,  Trophaea Romana, Mainz, 1672, pp. 195-201 [recte198]",,,,,,,,,,,,,,
"Kircher, Athanasius"," Fano, Vicenzo", Letter to Fano, n.d.,Printed copy,,,"Published in: Athanasius Kircher, Oedipus Aegyptiacus, 3 Tom. (in 4 vols.),  Rome: Ex Typographia Vitalis Mascardi,  1652-1654,  Tomus III (1654), p. 486."," Notes: Dedicatory letter for Syntagma XVII. De magnae efficaciae Idolis sive de Dijs Averruncis primi ordinis. Published in: Athanasius Kircher, Oedipus Aegyptiacus, 3 Tom. (in 4 vols.),  Rome: Ex Typographia Vitalis Mascardi,  1652-1654,  Tomus III (1654), p. 486.",,,,,,,,,,,,,,
"Kircher, Athanasius"," Favoriti, Agostino", Letter to Favoriti, 22 June 1665,Letter,Rome, Biblioteca Apostolica Vaticana,BAV Vat. lat. 8202 f. 48r," Notes: Italian, autograph signature. Consulted 24 June 1999. Cited in Fletcher, AK und…, p. 153.",Italian,,,,,,,,,,,,,
"Kircher, Athanasius"," Ferdinand Albrecht, Duke of Brunswick-L√ºneburg",Letter to Ferdinand Albrecht, 7 March 1664,Letter,Wolfenbüttel, Herzog August Bibliothek,HAB Fb 4o 52," Notes: Inside front of Ferdinand Albrecht's copy of the Polygraphia. From Fletcher, AK und…, p. 153",,,,,,,,,,,,,,
"Kircher, Athanasius", Holy Roman Emperor Ferdinand III, Letter to Ferdinand III, 4 May 1641,Printed copy,,,"Published in Athanasius Kircher, Magnes, Rome, Ludovico Grignani, 1641,  Sig. a3 recto - Sig. a4 verso.", Notes: Dedicatory letter.,,,,,,,,,,,,,,
"Kircher, Athanasius", Holy Roman Emperor Ferdinand III, Letter to Ferdinand III, n.d.,Printed copy,,,"Published in: Athanasius Kircher, Oedipus Aegyptiacus, 3 Tom. (in 4 vols.),  Rome: Ex Typographia Vitalis Mascardi,  1652-1654,  Tomus III (1654), p.7."," Notes: Dedicatory preface. Published in: Athanasius Kircher, Oedipus Aegyptiacus, 3 Tom. (in 4 vols.),  Rome: Ex Typographia Vitalis Mascardi,  1652-1654,  Tomus III (1654), p.7.",,,,,,,,,,,,,,
"Kircher, Athanasius", Holy Roman Emperor Ferdinand III, Letter to Ferdinand III, n.d.,Printed copy,,,"Published in: Athanasius Kircher, Oedipus Aegyptiacus, 3 Tom. (in 4 vols.),  Rome: Ex Typographia Vitalis Mascardi,  1652-1654,  Tomus III (1654), p. 161."," Notes: Dedication of Syntagma II. OBELISCUS RAMESSAEUS SIVE LATERANENSIS.Published in: Athanasius Kircher, Oedipus Aegyptiacus, 3 Tom. (in 4 vols.),  Rome: Ex Typographia Vitalis Mascardi,  1652-1654,  Tomus III (1654), p. 161.",,,,,,,,,,,,,,
"Kircher, Athanasius"," Ferdinand IV, King of the Romans",Letter to Ferdinand IV, n.d.,Printed copy,,,"Published in: Athanasius Kircher, Oedipus Aegyptiacus, 3 Tom. (in 4 vols.),  Rome: Ex Typographia Vitalis Mascardi,  1652-1654,  Tomus III (1654), p. 213 (mispaginated ""21"")"," Notes: Dedication of Syntagma III. Obeliscus Flaminius  olim Sennesertaeus.Published in: Athanasius Kircher, Oedipus Aegyptiacus, 3 Tom. (in 4 vols.),  Rome: Ex Typographia Vitalis Mascardi,  1652-1654,  Tomus III (1654), p. 213 (mispaginated ""21"")",,,,,,,,,,,,,,
"Kircher, Athanasius"," Ferdinand Johann, Prince of Lichtenstein",Letter to Ferdinand Johann, n.d.,Printed copy,,,"Published in: Athanasius Kircher, Oedipus Aegyptiacus, 3 Tom. (in 4 vols.),  Rome: Ex Typographia Vitalis Mascardi,  1652-1654,  Tomus II Pars Altera (1653), p. 5."," Notes: Dedicatory letter for section entitled ""Sectio I. De Arithmetica Hieroglyphica"" (of Class. VII. Mathematica Hieroglyphica). Published in: Athanasius Kircher, Oedipus Aegyptiacus, 3 Tom. (in 4 vols.),  Rome: Ex Typographia Vitalis Mascardi,  1652-1654,  Tomus II Pars Altera (1653), p. 5.",,,,,,,,,,,,,,
"Kircher, Athanasius"," Ferdinando II dei Medici, Grand Duke of Tuscany",Letter to Ferdinando II dei Medici, 12 June 1658,Letter, Florence, Archivio di Stato,"ASF Med 1026, f. 4."," Notes: Autograph, Italian",,,,,,,,,,,,,,
"Kircher, Athanasius"," Ferdinando II dei Medici, Grand Duke of Tuscany",Letter to Ferdinando II dei Medici, 8 November 1659,Letter, Florence, Archivio di Stato,Mediceo del Principato1026 f. 149," Notes: Autograph, Italian",,,,,,,,,,,,,,
"Kircher, Athanasius"," Ferdinando II dei Medici, Grand Duke of Tuscany",Letter to Ferdinando II dei Medici, 15 November 1659,Letter, Florence, Archivio di Stato,Mediceo del Principato1026 f. 150, Notes: 15th November 1659  Rome autograph signature,,,,,,,,,,,,,,
"Kircher, Athanasius"," Ferdinando II dei Medici, Grand Duke of Tuscany",Letter to Ferdinando II dei Medici, 21 June 1663,Letter, Florence, Archivio di Stato,Mediceo del Principato1026 f. 515, Notes: autograph signature,,,,,,,,,,,,,,
"Kircher, Athanasius"," Ferdinando II dei Medici, Grand Duke of Tuscany",Letter to Ferdinando II dei Medici, 7 July 1666,Letter, Florence, Archivio di Stato,ASF Med 1026 f. 677," Notes: not autograph. Mirto 1989, p. 157 reproduces APUG 555, 125 (renumbered as 115r) which offers the Obelisci aegyptiaci, 1666 to the ""Gran Principe"", i.e. Ferdinando II. This is the draft of the current letter although the wording differs slightly, the sent version being fuller. Another letter sends the same book to the ""Seren. mo Principe"" , i.e. Leopoldo? BNCF Aut. Palat, IV, 49 (3rd July 1666), reproduced in Mirto, pp. 164-5.",,,,,,,,,,,,,,
"Kircher, Athanasius"," Ferdinando II dei Medici, Grand Duke of Tuscany",Letter to Ferdinando II dei Medici, 10 February 1672,Letter, Florence, Archivio di Stato,ASF Med 3940 f. 4., Notes: is this the right recipient? When does Ferdinando II die??,,,,,,,,,,,,,,
"Kircher, Athanasius"," Ferdinando II dei Medici, Grand Duke of Tuscany", Letter to Ferdinando II dei Medici, n.d.,Printed copy,,,"Published in: Athanasius Kircher, Oedipus Aegyptiacus, 3 Tom. (in 4 vols.),  Rome: Ex Typographia Vitalis Mascardi,  1652-1654,  Tomus II Pars Altera (1653), p. 387."," Notes: Dedicatory letter for Classis X. Alchimia Hieroglyphica  sive Aurifera Ars Aegyptioru, Published in: Athanasius Kircher, Oedipus Aegyptiacus, 3 Tom. (in 4 vols.),  Rome: Ex Typographia Vitalis Mascardi,  1652-1654,  Tomus II Pars Altera (1653), p. 387.",,,,,,,,,,,,,,
"Kircher, Athanasius"," Ferrand, Jean", Letter to Ferrand, 4 June 1633,, Carpentras, Bibliothèque de Carpentras,Mss. de Peiresc II. f. 402,," Notes: Cit. Fletcher, AK und…, p. 153.",,,,,,,,,,,,,
"Kircher, Athanasius"," Ferrand, Jean", Letter to Ferrand, 4 June 1633,Scribal copy, Paris, Bibliothèque Nationale,BN FF 9362 f.16rv," Notes: Note: Copy, Latin. See Fletcher 'Kircher & Peiresc'",Latin,,,,,,,,,,,,,
"Kircher, Athanasius"," Franckenberg, Abraham von",Letter to Franckenberg, 8 November 1648,Printed copy,,,"Published in J.E. Olhoff,  Excerpta ex literis illust. et clariss. virorum ad J. Hevelium, Danzig 1683,  p. 14. C.G: von Murr, ed.,  Journal zur Kunstgeschichte und zur allgemeinen Literatur, Nuremberg  XVII (1789) 314-315.","Notes: Cit. Fletcher, AK und…, p. 157.",,,,,,,,,,,,,,
"Kircher, Athanasius"," Friedrich III, duke of Schleswig-Holstein-Gottorf",Letter to Friedrich III, 18 January 1650,Letter,Wolfenbüttel, Herzog August Bibliothek,HAB Cod. Guelf. 12 Gud. lat. f. 223," Notes: Cit. Fletcher, AK und…, p. 153.",,,,,,,,,,,,,,
"Kircher, Athanasius"," Friedrich III, duke of Schleswig-Holstein-Gottorf", Letter to Friedrich III, 10 June 1650,Printed copy,,," Published in J.P. von Ludewig ""Reliquiae manuscriptorum omnis aevi diplomatum... Frankfurt 1720-1741, V. pp. 385-387. sign. BL: 182.a.8",,,,,,,,,,,,,,,
"Kircher, Athanasius"," Friedrich III, duke of Schleswig-Holstein-Gottorf", Letter to Friedrich III, 13 November 1652,Letter,Wolfenbüttel, Herzog August Bibliothek,HAB Cod. Guelf. 12 Gud. lat.f. 226," Notes: Cit. Fletcher, AK und…, p. 153.",,,,,,,,,,,,,,
"Kircher, Athanasius"," Friedrich III, duke of Schleswig-Holstein-Gottorf", Letter to Friedrich III, 16 April 1655,Printed copy,,,"Published in J.P. von Ludewig ""Reliquiae manuscriptorum omnis aevi diplomatum... Frankfurt 1720-1741, V. pp. 385-387. sign. BL: 182.a.8",,,,,,,,,,,,,,,
"Kircher, Athanasius"," Friedrich, Landgrave of Hesse-Darmstadt",Letter to Friedrich, n.d.,Printed copy,,,"Published in: Athanasius Kircher, Oedipus Aegyptiacus, 3 Tom. (in 4 vols.),  Rome: Ex Typographia Vitalis Mascardi,  1652-1654,  Tomus II Pars Altera (1653), p. 435."," Notes: Dedicatory letter for Classis XI. Magia Hieroglyphica. Athanasius Kircher, Oedipus Aegyptiacus, 3 Tom. (in 4 vols.),  Rome: Ex Typographia Vitalis Mascardi,  1652-1654,  Tomus II Pars Altera (1653), p. 435.",,,,,,,,,,,,,,
"Kircher, Athanasius"," Gans, Johann", Letter to Gans, n.d.,Printed copy,,,"Published in: Athanasius Kircher, Oedipus Aegyptiacus, 3 Tom. (in 4 vols.),  Rome: Ex Typographia Vitalis Mascardi,  1652-1654,  Tomus II Pars Altera (1653), p. 83. "," Notes: Dedicatory letter for section entitled ""Sectio II. De Geometria Hieroglyphica"" (of Class. VII. Mathematica Hieroglyphica). Athanasius Kircher, Oedipus Aegyptiacus, 3 Tom. (in 4 vols.),  Rome: Ex Typographia Vitalis Mascardi,  1652-1654,  Tomus II Pars Altera (1653), p. 83. ",,,,,,,,,,,,,,
"Kircher, Athanasius"," Gassendi, Pierre", Letter to Gassendi, 10 July 1633,Letter, Paris, Bibliothèque Nationale,BN NAL 1637 ff. 73r-74v.," Notes: Published in Gassendi, Petri Gassendi Diniensis  Ecclesiae Praepositi  et in Academia Parisiensi Matheseos  Regii Professoris EPISTOLAE  Lugduni: Sumptibus Laurentii Anisson  1658. Tom. 6, pp. 4413-414..",,,,,,,,,,,,,,
"Kircher, Athanasius"," Gassendi, Pierre", Letter to Gassendi, 23 September 1634,Letter, Paris, Bibliothèque Nationale,BN NAL 1637 ff. 57r - 58v," Notes: Published in Gassendi, Petri Gassendi Diniensis  Ecclesiae Praepositi  et in Academia Parisiensi Matheseos  Regii Professoris EPISTOLAE  Lugduni: Sumptibus Laurentii Anisson  1658. Tom. 6, pp. 426-427.",,,,,,,,,,,,,,
"Kircher, Athanasius"," Gassendi, Pierre",Letter to Gassendi, 2 July 1639,Letter, Paris, Bibliothèque Nationale,BN NAL 1637 ff. 109r-110v," Notes: Published in Gassendi, Petri Gassendi Diniensis  Ecclesiae Praepositi  et in Academia Parisiensi Matheseos  Regii Professoris EPISTOLAE  Lugduni: Sumptibus Laurentii Anisson  1658. Tom. 6, pp. 436-437.",,,,,,,,,,,,,,
"Kircher, Athanasius"," Gassendi, Pierre",Letter to Gassendi, 13 February 1642,Letter, Paris, Bibliothèque Nationale,BN NAL 1637 ff. 36r-37v ," Notes: Published in Gassendi, Petri Gassendi Diniensis  Ecclesiae Praepositi  et in Academia Parisiensi Matheseos  Regii Professoris EPISTOLAE  Lugduni: Sumptibus Laurentii Anisson  1658. Tom. 6, p. 446.",,,,,,,,,,,,,,
"Kircher, Athanasius"," Gaudentius, Paganinus",Letter to Gaudentius, 6 March 1642,Letter, Rome, Biblioteca Apostolica Vaticana,BAV Urb. Lat. 1629 ff. 416r-417v, Notes: Autograph. Latin.,Latin,,,,,,,,,,,,,
"Kircher, Athanasius"," Gaudentius, Paganinus", Letter to Gaudentius, 18 January 1647,Letter, Rome, Biblioteca Apostolica Vaticana,BAV Urb. Lat. 1629 ff. 370r-371v," Notes: Autograph,  Latin. Cit. Fletcher, AK und…, p. 153",Latin,,,,,,,,,,,,,
"Kircher, Athanasius"," Gaudentius, Paganinus",Letter to Gaudentius, 17 March 1647,Letter, Rome, Biblioteca Apostolica Vaticana,BAV Urb. Lat. 1629 ff. 390r-391v," Notes: Autograph,  Latin. Cit. Fletcher, AK und…, p. 153",Latin,,,,,,,,,,,,,
"Kircher, Athanasius"," Gaudentius, Paganinus",Letter to Gaudentius, 4 May 1647,Letter, Rome, Biblioteca Apostolica Vaticana,BAV Urb. Lat. 1629 ff. 457r-458v, Notes: Autograph. Latin.,Latin,,,,,,,,,,,,,
"Kircher, Athanasius"," Gaudentius, Paganinus", Letter to Gaudentius, 9 June 1647,Letter, Rome, Biblioteca Apostolica Vaticana,BAV Urb. Lat. 1629 ff. 465rv, Notes: Autograph. Latin.,Latin,,,,,,,,,,,,,
"Kircher, Athanasius"," Gaudentius, Paganinus", Letter to Gaudentius, 24 August 1647,Letter, Rome, Biblioteca Apostolica Vaticana,BAV Urb. Lat. 1629 ff. 480r-481v, Notes: Autograph. Latin.,Latin,,,,,,,,,,,,,
"Kircher, Athanasius"," Gaudentius, Paganinus", Letter to Gaudentius, 11 October 1647,Letter, Rome, Biblioteca Apostolica Vaticana,BAV Urb. Lat. 1629 ff. 514rv, Notes: Autograph. Latin.,Latin,,,,,,,,,,,,,
"Kircher, Athanasius"," Gaudentius, Paganinus", Letter to Gaudentius, 22 February 1648,Letter, Rome, Biblioteca Apostolica Vaticana,BAV Urb. Lat. 1629 ff. 573r, Notes: Autograph. Latin.,Latin,,,,,,,,,,,,,
"Kircher, Athanasius"," Gibbes, James Alban",Letter to Gibbes, May 1656,Printed copy,,," Published in J.A. Gibbes,  Carminum pars lyrica ad exemplum Q. Horatii Flacci quamproxime concinnata, Rome 1668, p. 219."," Notes: Cit. Fletcher, AK und…, p. 157.",,,,,,,,,,,,,,
"Kircher, Athanasius","Gonzaga, Ferdinando Giovanni di ",Letter to Gonzaga, 6 July 1659,Letter, Castiglione, Archivio di Castiglione delle Stiviere,"Busta 241, cartella XLIII, no. 2"," Notes: Italian, Autograph. Cartella labelled: ""Lettere delli PP Olderico Gheringo  et Atanasio Kircher Giesuiti supremo Professore di Matematica. 1659-1670"". Also contains ms. list of Kircher's printed works. Information and photocopy from Guido Rebecchini",Italian,,,,,,,,,,,,,
"Kircher, Athanasius","Gonzaga, Ferdinando Giovanni di ",Letter to Gonzaga, 26 July 1659,Letter, Castiglione, Archivio di Castiglione delle Stiviere,"Busta 241, cartella XLIII, no. 3"," Notes: Italian, Autograph. Cartella labelled: ""Lettere delli PP Olderico Gheringo  et Atanasio Kircher Giesuiti supremo Professore di Matematica. 1659-1670"". Also contains ms. list of Kircher's printed works. Information and photocopy from Guido Rebecchini",Italian,,,,,,,,,,,,,
"Kircher, Athanasius","Gonzaga, Ferdinando Giovanni di ",Letter to Gonzaga, 19 November 1659,Letter, Castiglione, Archivio di Castiglione delle Stiviere,"Busta 241, cartella XLIII, no. 4."," Notes: Italian, Autograph. Cartella labelled: ""Lettere delli PP Olderico Gheringo  et Atanasio Kircher Giesuiti supremo Professore di Matematica. 1659-1670"". Also contains ms. list of Kircher's printed works. Information and photocopy from Guido Rebecchini",Italian,,,,,,,,,,,,,
"Kircher, Athanasius","Gonzaga, Ferdinando Giovanni di ",Letter to Gonzaga, 28 October 1660,Letter, Castiglione, Archivio di Castiglione delle Stiviere,"Busta 241, cartella XLIII, no. 5."," Notes: Italian, Autograph. Cartella labelled: ""Lettere delli PP Olderico Gheringo  et Atanasio Kircher Giesuiti supremo Professore di Matematica. 1659-1670"". Also contains ms. list of Kircher's printed works. Information and photocopy from Guido Rebecchini",Italian,,,,,,,,,,,,,
"Kircher, Athanasius","Gonzaga, Ferdinando Giovanni di ", Letter to Gonzaga, 30 October 1660,Letter, Castiglione, Archivio di Castiglione delle Stiviere,"Busta 241, cartella XLIII, no. 6."," Notes: Italian, Autograph. Cartella labelled: ""Lettere delli PP Olderico Gheringo  et Atanasio Kircher Giesuiti supremo Professore di Matematica. 1659-1670"". Also contains ms. list of Kircher's printed works. Information and photocopy from Guido Rebecchini",Italian,,,,,,,,,,,,,
"Kircher, Athanasius","Gonzaga, Ferdinando Giovanni di ", Letter to Gonzaga, 2 May 1661,Letter, Castiglione, Archivio di Castiglione delle Stiviere,"Busta 241, cartella XLIII, no. 7."," Notes: Italian, Autograph. Cartella labelled: ""Lettere delli PP Olderico Gheringo  et Atanasio Kircher Giesuiti supremo Professore di Matematica. 1659-1670"". Also contains ms. list of Kircher's printed works. Information and photocopy from Guido Rebecchini",Italian,,,,,,,,,,,,,
"Kircher, Athanasius","Gonzaga, Ferdinando Giovanni di ", Letter to Gonzaga, 12 September 1664,Letter, Castiglione, Archivio di Castiglione delle Stiviere,"Busta 241, cartella XLIII, no. 8."," Notes: Italian, Autograph. Cartella labelled: ""Lettere delli PP Olderico Gheringo  et Atanasio Kircher Giesuiti supremo Professore di Matematica. 1659-1670"". Also contains ms. list of Kircher's printed works. Information and photocopy from Guido Rebecchini",Italian,,,,,,,,,,,,,
"Kircher, Athanasius","Gonzaga, Ferdinando Giovanni di ", Letter to Gonzaga, 14 March 1665,Letter, Castiglione, Archivio di Castiglione delle Stiviere,"Busta 241, cartella XLIII, no. 9."," Notes: Italian, Autograph. Cartella labelled: ""Lettere delli PP Olderico Gheringo  et Atanasio Kircher Giesuiti supremo Professore di Matematica. 1659-1670"". Also contains ms. list of Kircher's printed works. Information and photocopy from Guido Rebecchini",Italian,,,,,,,,,,,,,
"Kircher, Athanasius","Gonzaga, Ferdinando Giovanni di ", Letter to Gonzaga, 16 January 1666,Letter, Castiglione, Archivio di Castiglione delle Stiviere,"Busta 241, cartella XLIII, no. 10."," Notes: Italian, Autograph. Cartella labelled: ""Lettere delli PP Olderico Gheringo  et Atanasio Kircher Giesuiti supremo Professore di Matematica. 1659-1670"". Also contains ms. list of Kircher's printed works. Information and photocopy from Guido Rebecchini",Italian,,,,,,,,,,,,,
"Kircher, Athanasius","Gonzaga, Ferdinando Giovanni di ",Letter to Gonzaga, 28 January 1668,Letter, Castiglione, Archivio di Castiglione delle Stiviere,"Busta 241, cartella XLIII, no. 11."," Notes: Italian, signature  Autograph. Cartella labelled: ""Lettere delli PP Olderico Gheringo  et Atanasio Kircher Giesuiti supremo Professore di Matematica. 1659-1670"". Also contains ms. list of Kircher's printed works. Information and photocopy from Guido Rebecchini",Italian,,,," et Atanasio Kircher Giesuiti supremo Professore di Matematica. 1659-1670"". Also contains ms. list of Kircher's printed works. Information and photocopy from Guido Rebecchini",,,,,,,,,
"Kircher, Athanasius","Gonzaga, Ferdinando Giovanni di ", Letter to Gonzaga, 18 January 1670,Letter, Castiglione, Archivio di Castiglione delle Stiviere,"Busta 241, cartella XLIII, no. 12."," Notes: Italian, Autograph. Cartella labelled: ""Lettere delli PP Olderico Gheringo  et Atanasio Kircher Giesuiti supremo Professore di Matematica. 1659-1670"". Also contains ms. list of Kircher's printed works. Information and photocopy from Guido Rebecchini",Italian,,,,,,,,,,,,,
"Kircher, Athanasius"," Ferdinando II dei Medici, Grand Duke of Tuscany", Letter to Ferdinando II dei Medici, 15 June 1656,Letter, Florence, Biblioteca Nazionale Centrale,BNCF: Ms. Gal. 275 f.43r," Notes: Consulted 2/5/1995. Check also Mirto, Alfonso. Le lettere di Athanasius Kircher della Biblioteca nazionale centrale di Firenze. Atti Mem. Accad. Toscana Sci. Lett. Colombaria. 1989; Vol. 54(n. s. 40): pp. 129-165 for this and other letters in Florence.",,,,,,,,,,,,,,
"Kircher, Athanasius"," Ferdinando II dei Medici, Grand Duke of Tuscany", Letter to Ferdinando II dei Medici, 9 March 1641,Letter, Florence, Biblioteca Nazionale Centrale,BNCF: Aut Palat. IV 40., Notes: Cited in: Mirto 1989,,,,,,,,,,,,,,
"Kircher, Athanasius"," Ferdinando II dei Medici, Grand Duke of Tuscany", Letter to Ferdinando II dei Medici, 22 March 1646,Letter, Florence, Biblioteca Nazionale Centrale,BNCF: Aut. Palat. IV 42., Notes: Cited in: Mirto 1989,,,,,,,,,,,,,,
"Kircher, Athanasius"," Ferdinando II dei Medici, Grand Duke of Tuscany", Letter to Ferdinando II dei Medici, 21 October 1650,Letter, Florence, Biblioteca Nazionale Centrale,BNCF: Aut. Palat. IV 43., Notes: Cited in: Mirto 1989,,,,,,,,,,,,,,
"Kircher, Athanasius"," Ferdinando II dei Medici, Grand Duke of Tuscany", Letter to Ferdinando II dei Medici, 25 April 1655,Letter, Florence, Biblioteca Nazionale Centrale,BNCF: Aut Palat. IV 44., Notes: Cited in: Mirto 1989,,,,,,,,,,,,,,
"Kircher, Athanasius"," Ferdinando II dei Medici, Grand Duke of Tuscany", Letter to Ferdinando II dei Medici, 28 October 1659,Letter, Florence, Biblioteca Nazionale Centrale,BNCF: Ms. Gal. 275 f. 112, Notes: Cited in: Mirto 1989,,,,,,,,,,,,,,
"Kircher, Athanasius"," Ferdinando II dei Medici, Grand Duke of Tuscany", Letter to Ferdinando II dei Medici, 16 May 1665,Letter, Florence, Biblioteca Nazionale Centrale,BNCF: Ms. Gal. 275 f. 47, Notes: Cited in: Mirto 1989,,,,,,,,,,,,,,
"Kircher, Athanasius"," Ferdinando II dei Medici, Grand Duke of Tuscany", Letter to Ferdinando II dei Medici, 4 September 1665,Letter, Florence, Biblioteca Nazionale Centrale,BNCF: Ms. Gal. 275 f. 48, Notes: Cited in: Mirto 1989,,,,,,,,,,,,,,
"Kircher, Athanasius"," Ferdinando II dei Medici, Grand Duke of Tuscany", Letter to Ferdinando II dei Medici,  27 March 1667,Letter, Florence, Biblioteca Nazionale Centrale, BNCF: Ms. Gal. 278 f. 17., Notes: Cited in: Mirto 1989,,,,,,,,,,,,,,
"Kircher, Athanasius"," Ferdinando II dei Medici, Grand Duke of Tuscany", Letter to Ferdinando II dei Medici, s.d. ma del 1663,Letter, Florence, Biblioteca Nazionale Centrale,"BNCF: BPG, Miscellanea Epistolarum, I (555), f. 125"," Notes: Cited in: Mirto 1989.  This letter has a copy in : Aut. Palat. IV, 49 dated 3 July 1666 and directed probably to Leopoldo de Medici",,,,,,,,,,,,,,
"Kircher, Athanasius"," Ferdinando II dei Medici, Grand Duke of Tuscany", Letter to Ferdinando II dei Medici,20 October 1659,Letter, Florence, Archivio di Stato,"ASF, Mediceo del Principato, f. 1026, c.145",,,,,,,,,,,,,,,
